# 프로젝트 진행 로그

| 날짜 | 작업 내용 | 결과 | 다음 할 일 |
| 2026-03-03 | CLAUDE.md 슬림화 및 docs/reference/ 레퍼런스 분리 | ✅ CLAUDE.md 296줄→113줄(62%↓) / docs/reference/ 4개 파일 신규 생성 (PROJECT_STRUCTURE, ENV_VARS, CONVENTIONS, DATA_SCHEMA) / 행동 수칙 10번 예외 조항 추가 (문서 수정 시 04번 직접 커밋 허용) / main 브랜치 push 완료 | Phase 3 Step 5 — AI 투자 비서 고도화 검토 |
| :--- | :--- | :--- | :--- |
| 2025-02-25 | 다중 에이전트 시스템 초기화 | CLAUDE.md, 서브에이전트 4개, docs/status 구조 완성 | 프론트엔드 대시보드 설계 |
| 2025-02-25 | 05번 DevOps/SRE 및 06번 비서실장 영입, 중앙 보고 체계 수립 | 에이전트 6명 체제 + 운영 문서(AGENT_DIRECTORY, PLAYBOOK) 완성 | Phase 2 프론트엔드 대시보드 착수 |
| 2025-02-25 | Git 버전 관리 체계 및 한글 커밋 컨벤션 도입 | 05번을 Git 책임자로 지정, 7가지 커밋 태그 + 브랜치 전략 확립, CLAUDE.md 행동 수칙 10번 신설 | Phase 2 개발 착수 전 브랜치 전략 적용 |
| 2026-02-25 | 미완료 우선순위 5개 일괄 구현 (P2·P4·P5·P6·P7) | P4: FIREBASE_DATABASE_URL Lambda 주입 / P7: Google 로그인 UI + layout 메타데이터 수정 / P2: CI 프론트엔드 빌드 게이트 (frontend-check job) / P5: Vercel 배포 파이프라인 (vercel.json + frontend-deploy.yml) | GitHub Secrets FIREBASE_DATABASE_URL·VERCEL_TOKEN·VERCEL_ORG_ID·VERCEL_PROJECT_ID 등록 후 push로 검증 |
| 2026-02-25 | Vercel 배포 성공 및 최종 검증 완료 | ✅ Vercel 프로덕션 배포 READY 상태 (URL: stock-news-sync-ebbkihx6o-...) / ESLint 미사용 import 정리 완료 / 하이브리드 배포 파이프라인 (native GitHub ↔ GitHub Actions) 정상 운영 | Phase 2 프론트엔드 뉴스 피드 UI 구현 (P1·P3·P8·P9 실행) |
| 2026-02-25 | Phase 2 프론트엔드 컴포넌트 분리 + 탭 UI 완성 | ✅ 7개 컴포넌트 분리 (Header, MarketIndexCard, StockRow, NewsCard, AISummaryCard, NewsFeedSection) / 뉴스 탭 네비게이션 (거시경제·포트폴리오·관심종목) / AI 요약 구조화 파싱 (호재·악재·중립 뱃지) / 반응형 1열→2열 전환 / ESLint 0 warnings 엄격 모드 활성화 | Phase 3: 주가 히스토리 수집 → 차트 시각화 + Watchlist 개인 관리 |
| 2026-02-25 | DB 아키텍처 전략 회의 (전 에이전트 참여) | 📌 핵심 결정: ① Firebase RTDB — 실시간 시장 데이터 표시용으로 유지 ② Firestore 백업 역할 단계적 종료 예정 ③ Supabase PostgreSQL Phase 3에서 신규 추가 (주가 히스토리 + 사용자 Watchlist) ④ 연결 풀러: Supavisor 포트 6543 경유 (Lambda 호환) ⑤ Firebase Auth → Phase 4에서 Supabase Auth 이관 검토 ⑥ Firebase RTDB → Supabase Realtime 이관은 지연시간 검증 후 결정 | Phase 3 착수 시 Supabase 프로젝트 생성 + stock_history / watchlist 테이블 설계 |
| 2026-02-25 | 2026-02-25 세션 종료 — Phase 2 완전 완료 선언 | ✅ Phase 2 전 항목 완료 확인 / Vercel 프로덕션 배포 READY 상태 유지 중 / Phase 3 방향 확정: Supabase PostgreSQL 추가 + 주가 히스토리 수집 인프라 구축 / 오늘 주요 커밋: [Feat] Phase 2 컴포넌트 분리 + 탭 뉴스 UI 완성 | Phase 3 착수: Supabase 계정 생성 → 테이블 설계 (stock_history, watchlist) → Lambda psycopg2-binary 연동 |
| 2026-02-27 | 6-Agent → 4-Agent 체제 개편 | ✅ 02+05 통합 → 02 Backend Cloud / 04+06 통합 → 04 Tech Lead PM / 구 에이전트 archive 완료 / AGENT_DIRECTORY, PLAYBOOK, CLAUDE.md 갱신 | Phase 3 코드 작업 착수 |
| 2026-02-27 | Phase 3 Step 1 — Supabase 연동 기반 구축 | ✅ supabase_schema.sql (stock_history + watchlist + RLS) / requirements.txt psycopg2-binary 추가 / db_service.py Supabase REST UPSERT / market_service.py get_stock_history 60일 OHLCV / main.py Step E 연결 완료 | Supabase 계정 생성 + 환경변수 설정 후 Lambda 배포 검증 |
| 2026-02-27 | Phase 3 Step 2 — Firestore 이중 저장 제거 | ✅ db_service.py에서 firestore import, client(), set() 로직 완전 제거 / RTDB만 유지 (실시간), 히스토리는 Supabase로 이관 | Phase 3 Step 3 (차트 시각화) 착수 |
| 2026-02-27 | 에이전트 담당범위 충돌 해소 + Phase 3 Step 3 차트 시각화 구현 | ✅ AGENT_DIRECTORY.md + PLAYBOOK.md에 파일 레벨 담당 명시 추가 (ai_service→03번, db_service→02번 주담당) / Supabase 연결 검증 (HTTP 200) / @supabase/supabase-js + lightweight-charts 패키지 추가 / lib/supabase.ts 클라이언트 생성 / lib/types.ts StockHistory 타입 추가 / components/chart/StockChart.tsx 캔들차트 컴포넌트 구현 / StockRow.tsx 차트 토글 버튼 추가 (portfolio + watchlist 양쪽) / ESLint 0 오류 통과 | Phase 3 Step 4 (Watchlist 개인 관리) 또는 Lambda 배포 후 Step E 실동작 검증 |
| 2026-02-28 | Git 리포지토리 정리 + 02번 에이전트 브랜치 관리 규칙 강화 | ✅ .claude/worktrees/ git 추적 캐시 제거 (gitignore 정상화) / 브랜치 11개→2개 정리 (로컬 9개 + remote 3개 삭제) / make_lambda_env.py KeyError 취약점 패치 + SUPABASE 환경변수 추가 / 02번 에이전트: Phase 태그 네이밍(feat/p3-기능명) + 세션 종료 정리 루틴 추가 | Phase 3 Step 4 (Watchlist 개인 관리 UI) 착수 또는 Lambda 배포 후 Supabase stock_history 데이터 적재 검증 |
| 2026-02-28 | 03번 에이전트 담당 영역 코드 개선 (버그/안정성/품질) | ✅ [Bug] pubDate 키 불일치 수정 (main.py — "published_date"→"date") / [안정성] fast_info KeyError 방어 (market_service.py — .get() 전환) / [안정성] Firebase safe_key 특수문자 처리 (re.sub 금지문자 일괄 치환) / [안정성] 종목 뉴스 수집 개별 try/except 추가 / [안정성] 429 감지 로직 개선 (RateLimitError 타입 체크 우선) / [품질] print()→logging 통일 (news_service.py, lambda_handler) / [품질] 타입 힌트 추가 (news_service.py) / [품질] models.py LiteLLM 주석 → OpenAI 호환 SDK 반영 / py_compile 0 오류 확인 | 02번 에이전트 커밋 후 main 브랜치 반영 / Phase 3 Step 4 (Watchlist 개인 관리 UI) 착수 |
| 2026-03-03 | 전 에이전트 회의 — MVP 로드맵 확정 | ✅ MVP=Phase3 Step4 완료로 합의 / 실행 순서: Step4 → Phase4 성능 최적화 → Step5(축소) / Step5 범위 축소 결정 (챗봇 제거, 히스토리 텍스트 인사이트만) | Phase 3 Step 4 구현 착수 |
| 2026-03-03 | Phase 3 Step 4 — Watchlist 개인 관리 구현 (MVP 완성) | ✅ [Backend] db_service.py: get_all_watchlist_symbols() 추가 (Supabase 전체 유저 watchlist 집계) / main.py: WATCHLIST 하드코딩 → Supabase 동적 읽기 (폴백: tickers.py 유지) / [Frontend] types.ts: WatchlistItem 인터페이스 추가 / StockRow.tsx: onRemove(−)/onAdd(+) 버튼 prop 추가 / page.tsx: Supabase RPC 기반 개인 watchlist CRUD (get/add/remove) / 비로그인 시 Firebase 기본 watchlist 폴백 / 로그인 시 추가 후보 섹션 표시 / [DB] supabase_schema.sql: RPC 함수 3개 추가 (get_user_watchlist, add_to_watchlist, remove_from_watchlist) — SECURITY DEFINER로 ANON key 접근 허용 / ESLint 0 오류 + py_compile OK | 사용자: Supabase SQL Editor에서 supabase_schema.sql의 RPC 함수 실행 필요 / Phase 4 성능 최적화 착수 |
| 2026-03-10 | Lambda crash 수정 + Phase 3 Step 5 — 추세 컨텍스트 AI 주입 | ✅ [Bug Fix] market_service.py: fast_info.last_price=None(KOSPI/KOSDAQ 장 마감 시) 시 history("5d") 폴백 추가 → Lambda Step A crash 해결 / db_service.py: update_market_indices() 빈 dict 방어 추가 / main.py: MACRO_KEYWORDS 루프 try-except 추가 (종목 뉴스와 일관성) / test_run.py: test_market() 추가 (시장 지수 커버리지) / [Phase 3 Step 5] main.py: _build_trend_context() 함수 추가 (5일/30일 수익률·60일 고저가) + Step B.5 추가 (portfolio/watchlist 심볼별 히스토리 수집→ai_contexts 주입, Step E 중복 API 호출 제거) / ai_service.py: 출력 양식 3번 📈 추세 인사이트 추가 / AISummaryCard.tsx: trendInsight 파싱 + 추세 인사이트 섹션 렌더링 / ESLint 0 오류 | Phase 4 성능 최적화 착수 (Firebase→Supabase Realtime 이관 검토, Vercel Analytics, Sentry) |
| 2026-03-11 | Lambda 안정화 4종 수정 + 에이전트 원칙 준수 사후 검증 | ✅ [Fix] make_lambda_env.py: Timeout 90s→300s, MemorySize 256MB 명시 (CI/CD 배포 시 설정 유실 방지) / [Fix] main.py: stock_data 빈 dict Firebase RTDB null 덮어쓰기 방지 guard 추가 (기존 데이터 보존) / [Fix] market_service.py: get_top_volume_stocks() 장외시간 fast_info None → history("5d") 폴백 추가 (get_market_indices()와 동일 패턴) → 포트폴리오·관심종목 주가 0 표시 완전 해결 / [Fix] config/models.py: 존재하지 않는 gemini-3-flash-preview → gemini-2.5-flash 교체 (Context7 MCP 공식 문서 기준 검증) / gemini-2.5-flash-lite 4순위 추가 (1000 RPD 최대 할당량) / MAX_TOKENS 1000→1500 (finish_reason=length 잦은 폴백 방지) / [검증] test_run.py 사후 실행: KOSPI·KOSDAQ history 폴백 동작 확인 + AI(groq/llama-3.1-8b-instant) HTTP 200 정상 응답 확인 | SUPABASE Lambda 환경변수 주입 (sync.yml env 블록 추가) — 사용자 판단 후 착수 / Phase 4 성능 최적화 계속 |
